letter_recognition.txt  26.0 100.0 0.001 100.0
Iteration 13: SSE = 9.001067066726227E-5
Iteration 14: SSE = 8.763812932678426E-5
Iteration 15: SSE = 8.507256695057964E-5
Iteration 16: SSE = 8.32658154066933E-5
Iteration 17: SSE = 8.171913535153758E-5
Iteration 18: SSE = 8.041730429926432E-5
Iteration 19: SSE = 7.921349608294893E-5
Iteration 20: SSE = 7.791493861713939E-5
Iteration 21: SSE = 7.663113632728868E-5
Iteration 22: SSE = 7.539196019329671E-5
Iteration 23: SSE = 7.401531874621227E-5
Iteration 24: SSE = 7.293491424852574E-5
Iteration 25: SSE = 7.206309790544989E-5
Iteration 26: SSE = 7.116919508026409E-5
Iteration 27: SSE = 7.031156178169013E-5
Iteration 28: SSE = 6.95174544172311E-5
Iteration 29: SSE = 6.783833346418309E-5
Iteration 30: SSE = 6.72183192755157E-5
Iteration 31: SSE = 6.703955751598158E-5
Iteration 32: SSE = 6.692246498100207E-5
Iteration 33: SSE = 6.684854964746625E-5
Iteration 34: SSE = 6.67901997028868E-5

Run 7
-------
Iteration 1: SSE = 2.2903729227931452E-4
Iteration 2: SSE = 1.388592804281079E-4
Iteration 3: SSE = 1.2849532790586707E-4
Iteration 4: SSE = 1.1899281250432043E-4
Iteration 5: SSE = 1.1331504384404335E-4
Iteration 6: SSE = 1.0838238271143934E-4
Iteration 7: SSE = 1.0398352720495855E-4
Iteration 8: SSE = 1.0142473681619525E-4
Iteration 9: SSE = 9.890411169009383E-5
Iteration 10: SSE = 9.64008238394857E-5
Iteration 11: SSE = 9.360535229357639E-5
Iteration 12: SSE = 9.131550557269973E-5
Iteration 13: SSE = 8.945385740676877E-5
Iteration 14: SSE = 8.777513188759493E-5
Iteration 15: SSE = 8.600947122987284E-5
Iteration 16: SSE = 8.436044720871446E-5
Iteration 17: SSE = 8.287138943108661E-5
Iteration 18: SSE = 8.092541610824449E-5
Iteration 19: SSE = 7.900574869880308E-5
Iteration 20: SSE = 7.728652062787423E-5
Iteration 21: SSE = 7.602091157053133E-5
Iteration 22: SSE = 7.47515360680129E-5
Iteration 23: SSE = 7.360667959484779E-5
Iteration 24: SSE = 7.233399038465294E-5
Iteration 25: SSE = 7.02897638947733E-5
Iteration 26: SSE = 6.839177235960992E-5
Iteration 27: SSE = 6.739330529547775E-5
Iteration 28: SSE = 6.695471342611088E-5
Iteration 29: SSE = 6.672557702545747E-5
Iteration 30: SSE = 6.655973072037068E-5
Iteration 31: SSE = 6.637741884362986E-5
Iteration 32: SSE = 6.618718900874921E-5
Iteration 33: SSE = 6.60344055967866E-5
Iteration 34: SSE = 6.594451363960663E-5
Iteration 35: SSE = 6.588297888499089E-5

Run 8
-------
Iteration 1: SSE = 1.9991581506395976E-4
Iteration 2: SSE = 1.3789655148078092E-4
Iteration 3: SSE = 1.2314823465004495E-4
Iteration 4: SSE = 1.1837248738108078E-4
Iteration 5: SSE = 1.1387065510005667E-4
Iteration 6: SSE = 1.0904336926955659E-4
Iteration 7: SSE = 1.0535582891777212E-4
Iteration 8: SSE = 1.0152789815059629E-4
Iteration 9: SSE = 9.83270609976732E-5
Iteration 10: SSE = 9.592295098963831E-5
Iteration 11: SSE = 9.401127779184948E-5
Iteration 12: SSE = 9.157915820194895E-5
Iteration 13: SSE = 8.852877684861936E-5
Iteration 14: SSE = 8.594954452144637E-5
Iteration 15: SSE = 8.403716181651735E-5
Iteration 16: SSE = 8.207640978060666E-5
Iteration 17: SSE = 7.98958333094719E-5
Iteration 18: SSE = 7.833190264928186E-5
Iteration 19: SSE = 7.671822622258407E-5
Iteration 20: SSE = 7.532642900379149E-5
Iteration 21: SSE = 7.370522353256386E-5
Iteration 22: SSE = 7.236510109309553E-5
Iteration 23: SSE = 7.125707706739783E-5
Iteration 24: SSE = 7.032154171633697E-5
Iteration 25: SSE = 6.955570517619534E-5
Iteration 26: SSE = 6.90173029048371E-5
Iteration 27: SSE = 6.862238820938247E-5
Iteration 28: SSE = 6.826743365416488E-5
Iteration 29: SSE = 6.78954096784022E-5
Iteration 30: SSE = 6.756898168439979E-5
Iteration 31: SSE = 6.727675545936893E-5
Iteration 32: SSE = 6.707317306081332E-5
Iteration 33: SSE = 6.693135822698589E-5
Iteration 34: SSE = 6.684078486319573E-5
Iteration 35: SSE = 6.675957763082502E-5
Iteration 36: SSE = 6.668650767476325E-5
Iteration 37: SSE = 6.662588231755289E-5

Run 9
-------
Iteration 1: SSE = 2.0080888153088994E-4
Iteration 2: SSE = 1.3370951774353262E-4
Iteration 3: SSE = 1.2425816204083567E-4
Iteration 4: SSE = 1.187624302503977E-4
Iteration 5: SSE = 1.1460326705696742E-4
Iteration 6: SSE = 1.0862668749011228E-4
Iteration 7: SSE = 1.0475711849697933E-4
Iteration 8: SSE = 1.0215197774702602E-4
Iteration 9: SSE = 9.92764087940771E-5
Iteration 10: SSE = 9.621351576046149E-5
Iteration 11: SSE = 9.396481689412236E-5
Iteration 12: SSE = 9.210967484548197E-5
Iteration 13: SSE = 9.03857266795612E-5
Iteration 14: SSE = 8.890733574554503E-5
Iteration 15: SSE = 8.712238955354185E-5
Iteration 16: SSE = 8.480225874895667E-5
Iteration 17: SSE = 8.228369949379948E-5
Iteration 18: SSE = 8.021390349793331E-5
Iteration 19: SSE = 7.801727315724871E-5
Iteration 20: SSE = 7.621466216192326E-5
Iteration 21: SSE = 7.481652165640748E-5
Iteration 22: SSE = 7.345573962029958E-5
