letter_recognition.txt  26.0 100.0 0.001 100.0
Iteration 21: SSE = 7.363071401713745E-5
Iteration 22: SSE = 7.240550034399246E-5
Iteration 23: SSE = 7.116733804381982E-5
Iteration 24: SSE = 6.990510600052566E-5
Iteration 25: SSE = 6.87785412689564E-5
Iteration 26: SSE = 6.799491629235319E-5
Iteration 27: SSE = 6.754000327641205E-5
Iteration 28: SSE = 6.72452812639326E-5
Iteration 29: SSE = 6.703419887273619E-5
Iteration 30: SSE = 6.687554169683756E-5
Iteration 31: SSE = 6.677296329902044E-5
Iteration 32: SSE = 6.669696732370059E-5
Iteration 33: SSE = 6.664379986306171E-5

Run 15
-------
Iteration 1: SSE = 2.210449962108832E-4
Iteration 2: SSE = 1.283480761824887E-4
Iteration 3: SSE = 1.210535511676524E-4
Iteration 4: SSE = 1.1617830824947304E-4
Iteration 5: SSE = 1.1334552678202378E-4
Iteration 6: SSE = 1.1006226339173791E-4
Iteration 7: SSE = 1.056186030775489E-4
Iteration 8: SSE = 1.026870663451989E-4
Iteration 9: SSE = 1.0046444257696804E-4
Iteration 10: SSE = 9.799903101055424E-5
Iteration 11: SSE = 9.569601031629297E-5
Iteration 12: SSE = 9.349618485332487E-5
Iteration 13: SSE = 9.16594303929474E-5
Iteration 14: SSE = 8.960428937350376E-5
Iteration 15: SSE = 8.727141165430287E-5
Iteration 16: SSE = 8.462860144480693E-5
Iteration 17: SSE = 8.151131393828731E-5
Iteration 18: SSE = 7.966131294032752E-5
Iteration 19: SSE = 7.810423282759642E-5
Iteration 20: SSE = 7.656516749566752E-5
Iteration 21: SSE = 7.529552951748456E-5
Iteration 22: SSE = 7.390464143072725E-5
Iteration 23: SSE = 7.24099835259773E-5
Iteration 24: SSE = 7.104208844741339E-5
Iteration 25: SSE = 6.988740227067629E-5
Iteration 26: SSE = 6.912972736187361E-5
Iteration 27: SSE = 6.863199614462169E-5
Iteration 28: SSE = 6.823011712683547E-5
Iteration 29: SSE = 6.787814066413434E-5
Iteration 30: SSE = 6.749994748531972E-5
Iteration 31: SSE = 6.718409120887685E-5
Iteration 32: SSE = 6.699528631085539E-5
Iteration 33: SSE = 6.684216026372562E-5
Iteration 34: SSE = 6.667281934411446E-5
Iteration 35: SSE = 6.650895982390125E-5
Iteration 36: SSE = 6.638540384913428E-5
Iteration 37: SSE = 6.628788053838104E-5
Iteration 38: SSE = 6.620724660799208E-5
Iteration 39: SSE = 6.613220394472605E-5
Iteration 40: SSE = 6.60644674325201E-5
Iteration 41: SSE = 6.598815697748249E-5
Iteration 42: SSE = 6.590592634881124E-5
Iteration 43: SSE = 6.584562479295699E-5

Run 16
-------
Iteration 1: SSE = 2.2529182776499313E-4
Iteration 2: SSE = 1.3345643542499885E-4
Iteration 3: SSE = 1.2614757191608517E-4
Iteration 4: SSE = 1.2086264851749858E-4
Iteration 5: SSE = 1.1625794515796267E-4
Iteration 6: SSE = 1.1037302129344732E-4
Iteration 7: SSE = 1.0530871179480227E-4
Iteration 8: SSE = 1.0245844180049353E-4
Iteration 9: SSE = 9.967608294065592E-5
Iteration 10: SSE = 9.764806115935999E-5
Iteration 11: SSE = 9.487238414712106E-5
Iteration 12: SSE = 9.202729498487438E-5
Iteration 13: SSE = 8.976512324716081E-5
Iteration 14: SSE = 8.803929164297599E-5
Iteration 15: SSE = 8.610683187853922E-5
Iteration 16: SSE = 8.375811470725503E-5
Iteration 17: SSE = 8.180385086750683E-5
Iteration 18: SSE = 7.974779416462163E-5
Iteration 19: SSE = 7.756971486383832E-5
Iteration 20: SSE = 7.598818682420661E-5
Iteration 21: SSE = 7.48390928731241E-5
