yeast.txt  10.0 100.0 0.001 100.0
Iteration 38: SSE = 88.5214123614564
Iteration 39: SSE = 88.1173349782485
Iteration 40: SSE = 87.50417507947421
Iteration 41: SSE = 87.02116283395465
Iteration 42: SSE = 86.31763365359055
Iteration 43: SSE = 85.95702556964848
Iteration 44: SSE = 85.76436105594875
Iteration 45: SSE = 85.46823916770327
Iteration 46: SSE = 85.1675024042646
Iteration 47: SSE = 84.99524719123853
Iteration 48: SSE = 84.77887689018154
Iteration 49: SSE = 84.68571788104602
Iteration 50: SSE = 84.644560263299

Run 6
-------
Iteration 1: SSE = 153.39023704696845
Iteration 2: SSE = 128.38745153240274
Iteration 3: SSE = 124.81873614751824
Iteration 4: SSE = 121.31184412406243
Iteration 5: SSE = 117.99309651600615
Iteration 6: SSE = 116.51379668802923
Iteration 7: SSE = 115.11471290864996
Iteration 8: SSE = 111.70000307082839
Iteration 9: SSE = 106.14076669627721
Iteration 10: SSE = 102.55008833536823
Iteration 11: SSE = 101.22488680395934
Iteration 12: SSE = 100.27295904955403
Iteration 13: SSE = 99.34871181206334
Iteration 14: SSE = 98.74124400711503
Iteration 15: SSE = 97.69429877694307
Iteration 16: SSE = 97.14240040233264
Iteration 17: SSE = 96.74171830305289
Iteration 18: SSE = 96.46983746750786
Iteration 19: SSE = 96.18105795872121
Iteration 20: SSE = 95.86125363938424
Iteration 21: SSE = 95.26636402482367
Iteration 22: SSE = 94.39070971770585
Iteration 23: SSE = 93.81259390048402
Iteration 24: SSE = 93.36636161450042
Iteration 25: SSE = 92.68600622342777
Iteration 26: SSE = 92.41354355034713
Iteration 27: SSE = 92.29801673806033
Iteration 28: SSE = 92.14018255709072
Iteration 29: SSE = 91.97085798130519
Iteration 30: SSE = 91.77742325218166
Iteration 31: SSE = 91.41543478074198
Iteration 32: SSE = 90.66051276370179
Iteration 33: SSE = 90.06815765055818
Iteration 34: SSE = 89.7233739642853
Iteration 35: SSE = 89.47867331919826
Iteration 36: SSE = 89.32091061771254
Iteration 37: SSE = 89.15446829530546
Iteration 38: SSE = 88.97378875585312
Iteration 39: SSE = 88.56211271323971
Iteration 40: SSE = 88.13456224570515
Iteration 41: SSE = 87.50141809055229
Iteration 42: SSE = 86.99267948051525
Iteration 43: SSE = 86.28413704902489
Iteration 44: SSE = 85.94349869247715
Iteration 45: SSE = 85.71579682622682
Iteration 46: SSE = 85.42566198516363
Iteration 47: SSE = 85.140544791506
Iteration 48: SSE = 84.90799801165366
Iteration 49: SSE = 84.75587981985959
Iteration 50: SSE = 84.67892843623815

Run 7
-------
Iteration 1: SSE = 208.90088646532712
Iteration 2: SSE = 127.05620511814821
Iteration 3: SSE = 121.57787116637567
Iteration 4: SSE = 119.72992285367891
Iteration 5: SSE = 117.9265577622959
Iteration 6: SSE = 116.96851356312344
Iteration 7: SSE = 116.08735212425665
Iteration 8: SSE = 114.12527218049955
Iteration 9: SSE = 110.24145423600649
Iteration 10: SSE = 105.75089801262608
Iteration 11: SSE = 102.60635585319912
Iteration 12: SSE = 100.79663537268569
Iteration 13: SSE = 99.45805267062056
Iteration 14: SSE = 98.01447997928095
Iteration 15: SSE = 97.29992978607254
Iteration 16: SSE = 96.8181531188334
Iteration 17: SSE = 96.51587089377516
Iteration 18: SSE = 96.21123306852803
Iteration 19: SSE = 95.8519706588289
Iteration 20: SSE = 95.36028928177726
Iteration 21: SSE = 94.318983059571
Iteration 22: SSE = 93.68779137639594
Iteration 23: SSE = 93.27434771107198
Iteration 24: SSE = 92.63964283471029
Iteration 25: SSE = 92.4470937523613
Iteration 26: SSE = 92.32750636176682
Iteration 27: SSE = 92.15322256515796
Iteration 28: SSE = 91.9805433046768
Iteration 29: SSE = 91.77855035168334
Iteration 30: SSE = 91.42087825229704
Iteration 31: SSE = 90.64296881503911
Iteration 32: SSE = 90.08266658015786
Iteration 33: SSE = 89.73279263667776
Iteration 34: SSE = 89.49266825462404
Iteration 35: SSE = 89.31282869654203
Iteration 36: SSE = 89.16007556088388
Iteration 37: SSE = 88.98888281561207
Iteration 38: SSE = 88.60254452348961
Iteration 39: SSE = 88.17501971463926
Iteration 40: SSE = 87.5300594366363
Iteration 41: SSE = 87.03996951612989
Iteration 42: SSE = 86.31921163515632
Iteration 43: SSE = 85.94911308171741
Iteration 44: SSE = 85.75461968541298
Iteration 45: SSE = 85.44459447243305
Iteration 46: SSE = 85.16957689161562
Iteration 47: SSE = 84.9856498426551
Iteration 48: SSE = 84.76195546715634
Iteration 49: SSE = 84.68301473587884

Run 8
-------
Iteration 1: SSE = 170.3148108860281
Iteration 2: SSE = 136.17825488433826
Iteration 3: SSE = 129.64139581228656
Iteration 4: SSE = 123.27814242342481
Iteration 5: SSE = 118.57864403979582
Iteration 6: SSE = 116.88916691631228
Iteration 7: SSE = 115.68480160063335
Iteration 8: SSE = 112.48939070884109
Iteration 9: SSE = 106.53268191136807
Iteration 10: SSE = 102.47788679382823
Iteration 11: SSE = 101.00398389248545
Iteration 12: SSE = 99.8613839778423
Iteration 13: SSE = 99.14788424003024
Iteration 14: SSE = 98.04191383452135
Iteration 15: SSE = 97.42358944154954
Iteration 16: SSE = 96.94988497986839
Iteration 17: SSE = 96.65630185452943
Iteration 18: SSE = 96.4364100862925
Iteration 19: SSE = 96.12969682091709
Iteration 20: SSE = 95.80120245812007
Iteration 21: SSE = 95.18858148353353
Iteration 22: SSE = 94.28823075652008
Iteration 23: SSE = 93.73098822495174
Iteration 24: SSE = 93.31011910060622
Iteration 25: SSE = 92.64188338402052
Iteration 26: SSE = 92.39984329353615
Iteration 27: SSE = 92.2798457868434
Iteration 28: SSE = 92.10812272402258
Iteration 29: SSE = 91.95106224303765
Iteration 30: SSE = 91.76166803550885
Iteration 31: SSE = 91.28046847390195
Iteration 32: SSE = 90.49411464896566
Iteration 33: SSE = 89.9929003927164
Iteration 34: SSE = 89.64402462544602
Iteration 35: SSE = 89.43194110379238
Iteration 36: SSE = 89.25551548080671
Iteration 37: SSE = 89.074555862186
Iteration 38: SSE = 88.87082138363226
Iteration 39: SSE = 88.3473509057073
Iteration 40: SSE = 87.68782759174609
